time,header,orientation,orientation_covariance,angular_velocity,angular_velocity_covariance,linear_acceleration,linear_acceleration_covariance
2024/05/28 23:19:24.45584687,"{'stamp': {'secs': 1716956364, 'nsecs': 45264385}, 'frame_id': 'RU_myo'}","{'x': 0.1089495086930479, 'y': -0.45056878048856, 'z': 0.5589689639276934, 'w': 0.6875110733436928}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 1.0625, 'y': -3.875, 'z': -1.625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.705078125, 'y': 0.66552734375, 'z': -0.06640625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.62017211,"{'stamp': {'secs': 1716956364, 'nsecs': 61689581}, 'frame_id': 'RU_myo'}","{'x': 0.10949997289994354, 'y': -0.45020724643811794, 'z': 0.5592189251445278, 'w': 0.6874571877213289}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.9375, 'y': -4.75, 'z': -1.1875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7080078125, 'y': 0.6572265625, 'z': -0.06884765625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.84529369,"{'stamp': {'secs': 1716956364, 'nsecs': 84183973}, 'frame_id': 'RU_myo'}","{'x': 0.10992858466847658, 'y': -0.4494803428643318, 'z': 0.5594089275328084, 'w': 0.6877098075845228}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.0625, 'y': -6.4375, 'z': -1.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70361328125, 'y': 0.68115234375, 'z': -0.05859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.105343453,"{'stamp': {'secs': 1716956364, 'nsecs': 105086702}, 'frame_id': 'RU_myo'}","{'x': 0.10986767771569257, 'y': -0.4488094634686041, 'z': 0.5589823291779514, 'w': 0.6885041136850067}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -5.5625, 'y': -6.5625, 'z': -0.3125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.701171875, 'y': 0.67236328125, 'z': -0.0595703125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.121931883,"{'stamp': {'secs': 1716956364, 'nsecs': 121625376}, 'frame_id': 'RU_myo'}","{'x': 0.10980663152598126, 'y': -0.44813801482143106, 'z': 0.5585550222869675, 'w': 0.6892975485396923}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -5.3125, 'y': -6.6875, 'z': -0.25}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.703125, 'y': 0.6787109375, 'z': -0.05908203125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.144262535,"{'stamp': {'secs': 1716956364, 'nsecs': 144057340}, 'frame_id': 'RU_myo'}","{'x': 0.10931825624307959, 'y': -0.44764940887032145, 'z': 0.5577611532938366, 'w': 0.6903347169789112}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -9.625, 'y': -6.0625, 'z': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.708984375, 'y': 0.68212890625, 'z': -0.06982421875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.165444841,"{'stamp': {'secs': 1716956364, 'nsecs': 165083091}, 'frame_id': 'RU_myo'}","{'x': 0.10840143858061072, 'y': -0.4474000815292098, 'z': 0.5558015201098205, 'w': 0.6922188710262985}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -17.6875, 'y': -5.8125, 'z': -1.125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7099609375, 'y': 0.67431640625, 'z': -0.0517578125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.181939309,"{'stamp': {'secs': 1716956364, 'nsecs': 181583776}, 'frame_id': 'RU_myo'}","{'x': 0.10742284384324303, 'y': -0.44733069461768643, 'z': 0.5540821456869092, 'w': 0.6937928783898543}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -15.8125, 'y': -4.3125, 'z': -1.1875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70068359375, 'y': 0.6748046875, 'z': -0.048828125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.204522734,"{'stamp': {'secs': 1716956364, 'nsecs': 204163942}, 'frame_id': 'RU_myo'}","{'x': 0.10565565867787807, 'y': -0.4475258748851543, 'z': 0.5508621141350951, 'w': 0.6964972392682073}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -27.0625, 'y': -3.5, 'z': -0.625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.71240234375, 'y': 0.6533203125, 'z': -0.02587890625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.225416228,"{'stamp': {'secs': 1716956364, 'nsecs': 225126868}, 'frame_id': 'RU_myo'}","{'x': 0.1041298813784095, 'y': -0.44752654763569666, 'z': 0.547505882745799, 'w': 0.6993670462097398}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -26.9375, 'y': -5.0625, 'z': -1.125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.69775390625, 'y': 0.642578125, 'z': -0.009765625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
