time,data
2024/05/28 23:19:24.338490933,"[28, 59, 14, 2, 0, -8, 19, -15]"
2024/05/28 23:19:24.339301774,"[-30, -68, -42, -87, -57, -2, 41, 5]"
2024/05/28 23:19:24.339315102,"[18, -79, 21, 110, 22, -5, -66, 13]"
2024/05/28 23:19:24.352786466,"[-5, 101, 25, -81, -13, 1, -28, -5]"
2024/05/28 23:19:24.352800425,"[14, -25, -28, -48, 2, -1, -7, 1]"
2024/05/28 23:19:24.361050202,"[15, 57, -55, -7, 2, 5, 78, 5]"
2024/05/28 23:19:24.361063404,"[11, 3, 25, 72, 40, 2, -60, -17]"
2024/05/28 23:19:24.375310005,"[5, 20, -14, 12, -13, -6, 1, -2]"
2024/05/28 23:19:24.375323997,"[19, 43, -10, 27, 19, -50, 24, -3]"
2024/05/28 23:19:24.383475572,"[4, -38, -28, -109, -54, -37, 14, 14]"
2024/05/28 23:19:24.383489253,"[-4, 23, 26, 25, 55, 20, -8, 15]"
2024/05/28 23:19:24.398477971,"[-7, -11, -23, -49, -28, 18, 3, 2]"
2024/05/28 23:19:24.398492344,"[3, -28, 21, 20, 16, 36, -10, -7]"
2024/05/28 23:19:24.399326371,"[5, 3, -10, 22, 9, 30, -35, -16]"
2024/05/28 23:19:24.399339444,"[-9, 27, 1, -59, -28, 7, -30, -22]"
2024/05/28 23:19:24.412846090,"[6, 0, 1, 17, -3, 5, 26, -12]"
2024/05/28 23:19:24.412865140,"[-5, -18, 10, -2, -9, 2, 11, -4]"
2024/05/28 23:19:24.420972417,"[-3, 27, 6, 23, 4, 2, -6, -2]"
2024/05/28 23:19:24.420985737,"[0, -1, 4, -40, -5, 2, 9, -4]"
2024/05/28 23:19:24.435299319,"[4, -2, -3, -3, -2, -11, 6, 1]"
2024/05/28 23:19:24.435314293,"[-12, -14, 7, -22, 4, 8, -2, -19]"
2024/05/28 23:19:24.443476771,"[2, 5, 9, 29, 12, 3, -7, -14]"
2024/05/28 23:19:24.443490115,"[8, 25, 2, -11, -12, -3, 0, -11]"
2024/05/28 23:19:24.458494003,"[-2, -12, -15, 2, -9, -3, -12, 0]"
2024/05/28 23:19:24.458508869,"[-6, 5, 5, 5, 0, 3, -6, -31]"
2024/05/28 23:19:24.459243021,"[8, 16, 8, 9, 3, -1, 20, -31]"
2024/05/28 23:19:24.459256128,"[8, -6, -4, -27, -4, -10, 18, -35]"
2024/05/28 23:19:24.472828925,"[9, -3, -3, -29, -3, -6, -84, -19]"
2024/05/28 23:19:24.472842808,"[-5, -15, 4, -17, -2, 1, -107, -1]"
